code;collectionpointcode;label;value;value_order
LISTE_HOPITAUX_713;PCS_713;Cabinet médical Fatou bintou;Cabinet médical Fatou bintou;1
LISTE_HOPITAUX_512;PCS_512;Case de sant‚ Diakine;Case de sant‚ Diakine;2
LISTE_HOPITAUX_558;PCS_558;Case de santé Boulel seck;Case de santé Boulel seck;4
LISTE_HOPITAUX_509;PCS_509;Case de santé Bouttolatte;Case de santé Bouttolatte;5
LISTE_HOPITAUX_447;PCS_447;Case de santé d'Agnam godo;Case de santé d'Agnam godo;6
LISTE_HOPITAUX_553;PCS_553;Case de santé Darou rahmane;Case de santé Darou rahmane;7
LISTE_HOPITAUX_456;PCS_456;Case de santé de Agnam ouro ciré;Case de santé de Agnam ouro ciré;8
LISTE_HOPITAUX_296;PCS_296;Case de Santé de Aini madi yoro;Case de Santé de Aini madi yoro;9
LISTE_HOPITAUX_371;PCS_371;Case de sante de Assoni;Case de sante de Assoni;10
LISTE_HOPITAUX_923;PCS_923;Case de Santé de Awa ba;Case de Santé de Awa ba;11
LISTE_HOPITAUX_800;PCS_800;Case de Santé de Babrou;Case de Santé de Babrou;12
LISTE_HOPITAUX_552;PCS_552;Case de santé de Back;Case de santé de Back;13
LISTE_HOPITAUX_242;PCS_242;Case de Santé de Badiene;Case de Santé de Badiene;14
LISTE_HOPITAUX_759;PCS_759;Case de Santé de Bagadadji;Case de Santé de Bagadadji;15
LISTE_HOPITAUX_869;PCS_869;Case de Santé de Bagne;Case de Santé de Bagne;16
LISTE_HOPITAUX_615;PCS_615;Case de Sante de BAGNOMBA;Case de Sante de BAGNOMBA;17
LISTE_HOPITAUX_929;PCS_929;Case de Santé de Bakhaya Dia;Case de Santé de Bakhaya Dia;18
LISTE_HOPITAUX_351;PCS_351;Case de santé de Bambadion;Case de santé de Bambadion;19
LISTE_HOPITAUX_430;PCS_430;Case de santé de Bandia Mbambara;Case de santé de Bandia Mbambara;20
LISTE_HOPITAUX_429;PCS_429;Case de santé de Bandian Sesséne;Case de santé de Bandian Sesséne;21
LISTE_HOPITAUX_660;PCS_660;Case de santé de Bango;Case de santé de Bango;22
LISTE_HOPITAUX_687;PCS_687;Case de Santé de Bantantinty;Case de Santé de Bantantinty;23
LISTE_HOPITAUX_760;PCS_760;Case de Santé de Bantantou;Case de Santé de Bantantou;24
LISTE_HOPITAUX_373;PCS_373;Case de sante de Baraboye;Case de sante de Baraboye;25
LISTE_HOPITAUX_132;PCS_132;Case de santé de Barol;Case de santé de Barol;26
LISTE_HOPITAUX_693;PCS_693;Case de Santé de Barry Ndondol;Case de Santé de Barry Ndondol;27
LISTE_HOPITAUX_248;PCS_248;Case de Santé de Bata wolof;Case de Santé de Bata wolof;28
LISTE_HOPITAUX_403;PCS_403;Case de sante de Belemondi;Case de sante de Belemondi;29
LISTE_HOPITAUX_926;PCS_926;Case de Santé de Berkom lo;Case de Santé de Berkom lo;30
LISTE_HOPITAUX_699;PCS_699;Case de santé de bissary diounkaya;Case de santé de bissary diounkaya;31
LISTE_HOPITAUX_745;PCS_745;Case de Santé de Boguelo;Case de Santé de Boguelo;32
LISTE_HOPITAUX_671;PCS_671;Case de Santé de Boki saboundé;Case de Santé de Boki saboundé;33
LISTE_HOPITAUX_812;PCS_812;Case de Santé de Bombaly;Case de Santé de Bombaly;34
LISTE_HOPITAUX_813;PCS_813;Case de Santé de Bouliery NdiolofŠne;Case de Santé de Bouliery NdiolofŠne;35
LISTE_HOPITAUX_794;PCS_794;Case de Santé de Boundou;Case de Santé de Boundou;36
LISTE_HOPITAUX_243;PCS_243;Case de Santé de Bras;Case de Santé de Bras;37
LISTE_HOPITAUX_179;PCS_179;Case de santé de Bundoukoni;Case de santé de Bundoukoni;38
LISTE_HOPITAUX_364;PCS_364;Case de santé de Ciss;Case de santé de Ciss;39
LISTE_HOPITAUX_556;PCS_556;Case de santé de Dagdam;Case de santé de Dagdam;40
LISTE_HOPITAUX_613;PCS_613;Case de Sante de DALAKOYE;Case de Sante de DALAKOYE;41
LISTE_HOPITAUX_387;PCS_387;Case de sante de  darasalam;Case de sante de  darasalam;42
LISTE_HOPITAUX_811;PCS_811;Case de Santé de Darou Baila;Case de Santé de Darou Baila;43
LISTE_HOPITAUX_557;PCS_557;Case de santé de Darou diop ;Case de santé de Darou diop ;44
LISTE_HOPITAUX_848;PCS_848;Case de Santé de Darou gaye;Case de Santé de Darou gaye;45
LISTE_HOPITAUX_255;PCS_255;Case de Santé de D'avance geladio ;Case de Santé de D'avance geladio ;46
LISTE_HOPITAUX_450;PCS_450;Case de santé de diafane belly thidy;Case de santé de diafane belly thidy;47
LISTE_HOPITAUX_799;PCS_799;Case de Santé de Diaken Digue;Case de Santé de Diaken Digue;48
LISTE_HOPITAUX_388;PCS_388;Case de sante de dialang;Case de sante de dialang;49
LISTE_HOPITAUX_316;PCS_316;Case de santé de Diamagueune;Case de santé de Diamagueune;50
LISTE_HOPITAUX_850;PCS_850;Case de Santé de Diama thiedou;Case de Santé de Diama thiedou;51
LISTE_HOPITAUX_119;PCS_119;Case de Santé de Diamminar;Case de Santé de Diamminar;52
LISTE_HOPITAUX_298;PCS_298;Case de Santé de Diankacounda;Case de Santé de Diankacounda;53
LISTE_HOPITAUX_507;PCS_507;Case de santé de Diarone;Case de santé de Diarone;54
LISTE_HOPITAUX_546;PCS_546;Case de santé de Diob;Case de santé de Diob;55
LISTE_HOPITAUX_475;PCS_475;Case de santé de Diolofiba sérére;Case de santé de Diolofiba sérére;56
LISTE_HOPITAUX_352;PCS_352;Case de santé de Djidinky mandingue;Case de santé de Djidinky mandingue;57
LISTE_HOPITAUX_804;PCS_804;Case de Santé de Douysangou;Case de Santé de Douysangou;58
LISTE_HOPITAUX_632;PCS_632;Case de Santé de Ediamath;Case de Santé de Ediamath;59
LISTE_HOPITAUX_506;PCS_506;Case de santé de Falmere;Case de santé de Falmere;60
LISTE_HOPITAUX_474;PCS_474;Case de santé de Faou1;Case de santé de Faou1;61
LISTE_HOPITAUX_685;PCS_685;Case de Santé de fara ba;Case de Santé de fara ba;62
LISTE_HOPITAUX_580;PCS_580;Case de santé de Fayelane;Case de santé de Fayelane;63
LISTE_HOPITAUX_301;PCS_301;Case de Santé de Foulado yoro;Case de Santé de Foulado yoro;64
LISTE_HOPITAUX_224;PCS_224;Case de Santé de Gagna Bougou;Case de Santé de Gagna Bougou;65
LISTE_HOPITAUX_817;PCS_817;Case de Santé de Gague;Case de Santé de Gague;66
LISTE_HOPITAUX_428;PCS_428;Case de santé de Gandoul;Case de santé de Gandoul;67
LISTE_HOPITAUX_788;PCS_788;Case de Santé de Gapp;Case de Santé de Gapp;68
LISTE_HOPITAUX_253;PCS_253;Case de Santé de Gniline goumack;Case de Santé de Gniline goumack;69
LISTE_HOPITAUX_581;PCS_581;Case de santé de Godogéne;Case de santé de Godogéne;70
LISTE_HOPITAUX_846;PCS_846;Case de Santé de Golobe;Case de Santé de Golobe;71
LISTE_HOPITAUX_120;PCS_120;Case de Santé de GolondŠ;Case de Santé de GolondŠ;72
LISTE_HOPITAUX_807;PCS_807;Case de Santé de Guebb Fall;Case de Santé de Guebb Fall;73
LISTE_HOPITAUX_809;PCS_809;Case de Santé de Guebb Serrere;Case de Santé de Guebb Serrere;74
LISTE_HOPITAUX_362;PCS_362;Case de santé de Guenth Ngouille;Case de santé de Guenth Ngouille;75
