value_order;code;label;value
500;PROFESSION_1_1;accoucheuse auxiliaire - matrone;accoucheuse auxiliaire - matrone
500;PROFESSION_1_2;acheteur de produits;acheteur de produits
500;PROFESSION_1_3;acteur(rice);acteur(rice)
500;PROFESSION_1_4;actuaire;actuaire
500;PROFESSION_1_5;adjoint(e) administratif(ive);adjoint(e) administratif(ive)
500;PROFESSION_1_6;adjoint(e) technique des B.T.P.;adjoint(e) technique des B.T.P.
500;PROFESSION_1_7;adjoint(e) technique des industries;adjoint(e) technique des industries
500;PROFESSION_1_8;adjoint(e) technique des mines;adjoint(e) technique des mines
500;PROFESSION_1_9;adjoint(e) technique;adjoint(e) technique
500;PROFESSION_1_10;adjudant(e);adjudant(e)
500;PROFESSION_1_11;adjudant(e)-chef;adjudant(e)-chef
500;PROFESSION_1_12;administrateur(rice) de société;administrateur(rice) de société
500;PROFESSION_1_13;administrateur(rice) civil;administrateur(rice) civil
500;PROFESSION_1_14;administrateur(rice) des affaires culturelles;administrateur(rice) des affaires culturelles
500;PROFESSION_1_15;administrateur(rice) des postes et télécommunications;administrateur(rice) des postes et télécommunications
500;PROFESSION_1_16;cadre administratif(ve) et financier(e);cadre administratif(ve) et financier(e)
500;PROFESSION_1_17;administrateur(rice) des services fiscaux;administrateur(rice) des services fiscaux
500;PROFESSION_1_18;administrateur(rice) et attachés des hôpitaux;administrateur(rice) et attachés des hôpitaux
500;PROFESSION_1_19;administrateur(rice), gérant(e) d'entreprise;administrateur(rice), gérant(e) d'entreprise
500;PROFESSION_1_20;agent(e) commercial(e);agent(e) commercial(e)
500;PROFESSION_1_21;agent(e) d'approvisionnement;agent(e) d'approvisionnement
500;PROFESSION_1_22;agent(e) d'assurance;agent(e) d'assurance
500;PROFESSION_1_23;agent(e) de bureau;agent(e) de bureau
500;PROFESSION_1_24;agent(e) de change;agent(e) de change
500;PROFESSION_1_25;agent de dédouanement;agent de dédouanement
500;PROFESSION_1_26;agent(e) de douane;agent(e) de douane
500;PROFESSION_1_27;agent(e) des mines;agent(e) des mines
500;PROFESSION_1_28;agent de maitrise de l'information;agent de maitrise de l'information
500;PROFESSION_1_29;agent de police;agent de police
500;PROFESSION_1_30;agent de relevé de compteur;agent de relevé de compteur
500;PROFESSION_1_31;agent(e) de saisie;agent(e) de saisie
500;PROFESSION_1_32;agent(e) de santé;agent(e) de santé
500;PROFESSION_1_33;agent de vidange de fosses et puisards;agent de vidange de fosses et puisards
500;PROFESSION_1_34;agent(e) de voyage;agent(e) de voyage
500;PROFESSION_1_35;agent(e) d'entretien;agent(e) d'entretien
500;PROFESSION_1_36;agent(e) d'hygiène;agent(e) d'hygiène
500;PROFESSION_1_37;agent(e) immobilier(e);agent(e) immobilier(e)
500;PROFESSION_1_38;agent itinérant de santé;agent itinérant de santé
500;PROFESSION_1_39;agent(e) maritime;agent(e) maritime
500;PROFESSION_1_40;agent(e) technique;agent(e) technique
500;PROFESSION_1_41;agent(e) de service technique;agent(e) de service technique
500;PROFESSION_1_42;agent(e) administratif;agent(e) administratif
500;PROFESSION_1_43;agents concessionnaires;agents concessionnaires
500;PROFESSION_1_44;agents de collecte de données statistiques;agents de collecte de données statistiques
500;PROFESSION_1_45;agents de pompes funèbres et embaumeurs;agents de pompes funèbres et embaumeurs
500;PROFESSION_1_46;agents d'emploi et de recrutement de main-d’œuvre;agents d'emploi et de recrutement de main-d’œuvre
500;PROFESSION_1_47;agents des services publics accordant des licences;agents des services publics accordant des licences
500;PROFESSION_1_48;agents des services publics accordant des prestations sociales;agents des services publics accordant des prestations sociales
500;PROFESSION_1_49;agriculteur de cultures vivrières à but commercial;agriculteur de cultures vivrières à but commercial
