"code";"label";"value";"value_order"
"1023550";Adeane;ADEANE;1
"1042369";Aere Lao;AERELAO;2
"1082305";Affe Djolof;AFFEDJOLOF;3
"1111327";Agnam Civol;AGNAMCIVOL;4
"1112342";Aoure;AOURE;5
"1031055";Baba Garage;BABAGARAGE;6
"1081277";Badegne Ouolof;BADEGNEOUOLOF;7
"1103260";Badion;BADION;8
"1101236";Bagadadji;BAGADADJI;9
"1143428";Baghere;BAGHERE;10
"1051430";Bakel;BAKEL;11
"1053453";Bala;BALA;12
"1021532";Balingore;BALINGORE;13
"1051439";Ballou;BALLOU;14
"1141399";Bambali;BAMBALI;15
"1054468";Bamba Ndiayene - Bamba Thialene;BAMBANDIAYENEBAMBATHIALENE;16
"1031054";Bambey;BAMBEY;17
"1013048";Bambilor;BAMBILOR;18
"1131209";Bandafassi;BANDAFASSI;19
"1053460";Bani Israel;BANIISRAEL;20
"1013043";Bargny;BARGNY;21
"1082290";Barkedji;BARKEDJI;22
"1092121";Bassoul;BASSOUL;23
"1051437";Bele;BELE;24
"1133223";Bembou;BEMBOU;25
"1141396";Bemet Bidjini;BEMETBIDJINI;26
"1103262";Bignarabe;BIGNARABE;27
"1021525";Bignona;BIGNONA;28
"1122144";Birkelane;BIRKELANE;29
"1011007";Biscuiterie;BISCUITERIE;30
"1042364";Bode lao;BODELAO;31
"1142405";Boghal;BOGHAL;32
"1042375";Boke Dialloube;BOKEDIALLOUBE;33
"1041356";Bokhol;BOKHOL;34
"1111330";Bokidiawe;BOKIDIAWE;35
"1112340";Bokiladji;BOKILADJI;36
"1142408";Bona;BONA;37
"1102246";Bonconto;BONCONTO;38
"1082301";Boulal;BOULAL;39
"1121136";Boulel Goumack;BOULELGOUMACK;40
"1142401";Bounkiling;BOUNKILING;41
"1103263";Bourouco Birane Cisse;BOUROUCOBIRANECISSE;42
"1053461";Boutoucoufara;BOUTOUCOUFARA;43
"1023551";Boutoupa Camara Counda;BOUTOUPACAMARACOUNDA;44
"1053457";Boynguel Bamba;BOYNGUELBAMBA;45
Cissis;C;C;46
"1011019";Camberene;CAMBERENE;47
"1072494";Cayar;CAYAR;48
"1073520";Cherif Lo;CHERIFLO;49
CiteEspoir;Cite Espoir;CITEESPOIR;50
"1083308";Coki;COKI;51
"1093129";Colobane;COLOBANE;52
"1021537";Coubalan;COUBALAN;53
"1101237";Coumbacara;COUMBACARA;54
"1062190";Dabaly;DABALY;55
"1111329";Dabia Obedji;DABIAOBEDJI;56
"1101228";Dabo;DABO;57
"1041349";Dagana;DAGANA;58
"1082288";Dahra;DAHRA;59
"1132216";Dakately;DAKATELY;60
"1012039";Daliford;DALIFORD;61
"1033087";Dalla Ngabou;DALLANGABOU;62
"1032067";Dankh Sene;DANKHSENE;63
"1063206";Dara Mboss;DARAMBOSS;64
"1073512";Darou Khoudoss;DAROUKHOUDOSS;65
"1081270";Darou Marnane;DAROUMARNANE;66
"1124161";Darou Minam II;DAROUMINAMII;67
"1081271";Darou Mousty;DAROUMOUSTY;68
"1033085";Darou Nahim;DAROUNAHIM;69
"1062191";Darou Salam;DAROUSALAM;70
"1033080";Darou Salam Typ;DAROUSALAMTYP;71
"1132218";Dar salam;DARSALAM;72
"1082302";Deali;DEALI;73
"1112336";Dembancane;DEMBANCANE;74
"1042365";Demette;DEMETTE;75
"1033079";Dendeye Gouye Gui;DENDEYEGOUYEGUI;76
"1142409";Diacounda;DIACOUNDA;77
"1092118";Diagane Barka;DIAGANEBARKA;78
"1091906";Diakhao;DIAKHAO;79
"1052448";Dialacoto;DIALACOTO;80
"1101239";Dialambere;DIALAMBERE;81
"1041357";Diama;DIAMA;82
"1121142";Diamagadio;DIAMAGADIO;83
Diamaguene;Diamaguène;DIAMAGUENE;84
"1012035";Diamaguene Sicap Mbao;DIAMAGUENESICAPMBAO;85
"1012034";Diamaguene Sicap Mbao;DIAMAGUENESICAPMBAO;86
"1122145";Diamal;DIAMAL;87
