"code";"label"
"777";Centre principal de Thiaroye Gare
"912";Centre principal de Leona Thiaroye
"934";Centre principal de Pikine Ouest
"933";Centre principal de Yeumbeul Nord
"925";Centre principal de Yeumbeul Sud
"765";Centre principal de la Ville de Pikine
"770";Centre principal de la Ville Rufisque 
"604";Centre principal de Malicounda
"596";Centre principal de Mbour
"238";Centre principal de Touba Mosquèe
"212";Centre principal de Diourbel
"870";Centre secondaire de Dakar Plateau (HPD)
"251";Centre principal de Saint Louis
"999999";Portail Citoyen
"776";Centre Principal de Sangalkam
"847";Centre principal de Medina Gounass
"772";Centre principal de Bambilor
"990";Centre Principal de Grand Dakar (darabis)
"757";Centre principale de Biscuiterie
"950";Centre principal de Medina
"942";Centre principal de Sam notaire
"944";Centre principal de Pikine Est
"937";Centre Principal de Daliford
"760";Centre principal de Ngor
"762";Centre Principal de Camberene
"945";Centre Principal de Malika
"756";Centre principal de Fann Point E Amitié
"910";Centre Principal de Guédiawaye (Wakhinane Nimzat)
"848";Centre Secondaire de Fann Point E Amitié (Hôpital Fann)
"260";Centre principal de Ross Bethio
A10;Centre Secondaire de Bambilor
"306";Centre principal de Podor
"758";Centre principal de Grand Yoff
"973";Centre Principal de Diamaguene Sicap Mbao
SC01;Centre secondaire de Diamaguene Sicap Mbao Nassouroulahi
"191";Centre Principal de Bambey
"209";Centre Principal de Ndondol
"207";Centre principal de Ngoye
"203";Centre principal de Refane
"225";Centre Principal de Mbacké
"841";Centre Principal de Sessene
G05;Centre Principal de Thiès Nord
"449";Centre Principal de Diarrere
"450";Centre Principal de Diouroup
"425";Centre Principal de Fatick
"454";Centre principal de Foundiougne
"475";Centre Principal de Gossass
"609";Centre Secondaire de Malicounda
"619";Centre Principal de la Ville de Thiès
"766";Centre principal de la Ville de Guédiawaye
"476";Centre Principal de Guinguinéo
"549";Centre Principal de Gandiaye
"548";Centre Principal de Kaolack
"913";Centre Secondaire de Kaolack
"946";Centre Secondaire de Kaolack
"556";Centre Principal de Keur Soce
"564";Centre Principal de Nioro Du Rip
"680";Centre Principal de Kebemer
"679";Centre Principal de Darou Mousty
"706";Centre Principal de Dahra
"699";Centre Principal de Linguère
"733";Centre Principal de Keur Momar Sarr
"728";Centre Principal de Louga
"272";Centre Principal de Kanel
"273";Centre Principal de Sinthiou Bamambe Banadj
"301";Centre Principal de Agnam Civol
"281";Centre Principal de Bokidiawe
"271";Centre Principal de Matam
"285";Centre Principal de Nabadji Civol
"288";Centre Principal de Ranerou
"252";Centre principal de Dagana
"322";Centre principal de Pete
"259";Centre principal de Gandon
"258";Centre secondaire de Saint Louis
"1";Centre principal de Bignona
"38";Centre principal de Mlomp
"71";Centre principal de Nyassia
"70";Centre principal de Ziguinchor
B02;Centre secondaire de Ziguinchor
"116";Centre principal d'Oussouye
"137";Centre principal de Bounkiling
"139";Centre principal de Diaroume
"146";Centre principal de GOUDOMP
"152";Centre principal de Karantaba
"160";Centre principal de Diende
"052";Centre Principal de Vélingara
"648";Centre Principal de Tivaouane
"163";Centre principal de Djiredji
"170";Centre principal de MARSASSOUM
"136";Centre principal de SEDHIOU
"088";Centre principal de Kolda
"104";Centre principal de SARE BIDJI
"109";Centre principal de MEDINA YORO FOULAH
"092";Centre principal de MAMPATIM
"062";Centre principal de MEDINA GOUNASS
"494";Centre Principal de Birkelane
"495";Centre Principal de Mabo
"493";Centre Principal de Kaffrine
"523";Centre Principal de Kahi
"538";Centre Principal de Kathiote
"508";Centre Principal de Koungheul
"518";Centre Principal de Malem Hoddar
"904";Centre Principal de Bandafassi
"364";Centre Principal de Kedougou 
N01;Centre Principal de Ninefecha
"369";Centre Principal de Tomboronkoto
"379";Centre Principal de Salemata
N02;Centre Principal de Sabodala
"383";Centre Principal de Saraya
"341";Centre Principal de Bakel
"350";Centre Principal de Goudiry
"393";Centre Principal de Koumpentoum
"408";Centre Principal de Missirah
"410";Centre Principal de Netteboulou
"400";Centre Principal de Sinthiou Maleme
E18;Centre Principal de Tambacounda
"605";Centre Principal de Diass
"610";Centre Principal de Sindia
G02;Centre Principal de Somone
"603";Centre Principal de Nguekokh
"607";Centre Principal de Ngaparou
"612";Centre Principal de Ngueniene
"595";Centre Principal de Joal Fadiouth
"611";Centre Principal de Thiadiaye
"597";Centre Principal de Fissel
"598";Centre Principal de Ndiaganiao
"613";Centre Principal de Sandiara
SC05;Centre Secondaire de Sandiara
"606";Centre Principal de Popenguine-ndayane
G01;Centre Principal de Saly Portudal
"201";Centre Principal de Gawane
"219";Centre Principal de Ngohe
"220";Centre Principal de Patar
"233";Centre Principal de Dalla Ngabou
"237";Centre Principal de Touba Fall
"420";Centre Principal de Taïf
"993";Centre Principal de Darou Nahim
C02;Centre Principal de Taiba Thiekene
J01;Centre Principal de Mbam
"488";Centre Principal de Ndiene Lagane
"490";Centre Principal de Patar Lia
"593";Centre Principal de Ouadiour
"647";Centre Principal de Meckhe
"649";Centre Principal de Meouane
"655";Centre Principal de Koul
"664";Centre Principal de Pambal 
"665";Centre Principal de Cherif Lo
"668";Centre Principal de Pire Goureye
"663";Centre Secondaire de Ngandiouf
"683";Centre Principal de Mbadiane
"685";Centre Principal de Sam Yabal
"689";Centre Principal de Badegne Ouolof
"691";Centre Principal Kab Gaye
"695";Centre Principal de Gueoul
H02;Centre Principal de Ngourane Ouolof
